Malli;Brändi;SKU;Sukupuolilinja;Kiinnitys;Pituusmitoitus;Lesti;Kärkitila;Päällisen joustavuus;Jalkapöydän tila;Sisäpohja;Pohjan leveys;Käyttöluokka;Kenkätyyppi;Vaimennus 1-3;Rullaus 1-3 ;Kiertojäykkyys 1-3
30073;Xsensible;66001;Mies;Nauha ja vetoketju;Normaali;Normaali;Anatominen;3;Normaali;Irroitettava;Normaali;Ulkoilu;Umpikenkä;3;3;3
30076;Xsensible;66013;Mies;Nauha ja vetoketju;Normaali;Leveä;Anatominen;3;Normaali;Irroitettava;Normaali;Ulkoilu;Umpikenkä;3;3;3
63068 Haka;Pomar;52033;Mies;Nauha;Iso;Leveä;Anatominen;1;Normaali;Kiinteä;Leveä;Päivittäinen;Umpikenkä;1;1;2
Echelon;Saucony;68002;Mies;Nauha;Pieni;K-lesti;Anatominen;2;Tilava;Irroitettava;Erittäin leveä;Ulkoilu;Umpikenkä;3;2;3
32543 Ville;Sievi;58005;Mies;Tarra;Pieni;Leveä;Normaali;1;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;1
Arian;PodoWell;51006;Mies;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Sisäkäyttö;Sandaali;2;1;2
181-11;New Feet;45013;Mies;Nauha;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;2;2;3
Aquitaine;PodoWell;51001;Mies;Tarra;Pieni;K-lesti;Anatominen;1;Tilava;Irroitettava;Leveä;Päivittäinen;Umpikenkä;1;1;2
Moab 3;Merrell;43009;Mies;Nauha;Pieni;Leveä;Normaali;1;Normaali;Irroitettava;Leveä;Ulkoilu;Umpikenkä;3;2;3
Slip-ins 232926;Skechers;77010;Mies;Ei mitään;Iso;Normaali;Normaali;2;Normaali;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;3;1;1
30070;Xsensible;66006;Nainen;Nauha ja vetoketju;Normaali;Leveä;Anatominen;3;Normaali;Irroitettava;Normaali;Ulkoilu;Umpikenkä;3;3;3
Arian;PodoWell;51006;Nainen;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Sandaali;2;1;2
Aquitaine;PodoWell;51001;Nainen;Tarra;Pieni;K-lesti;Anatominen;1;Tilava;Irroitettava;Leveä;Päivittäinen;Umpikenkä;1;1;2
181-11;New Feet;45013;Nainen;Nauha;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;2;2;3
205731;Ganter;28002;Nainen;Tarra;Pieni;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;1;1;2
44587 OSAKA;Ara;16059;Nainen;Nauha ja vetoketju;Normaali;Leveä;Siro;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;2
Cordoba 302433;Hassia;30006;Nainen;Nauha;Normaali;Leveä;Siro;1;Tilava;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;1;1;1
833 Cambio;Think!;62026;Nainen;Tarra;Iso;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Sandaali;2;2;3
24708;Caprice;20051;Nainen;Ei mitään;Normaali;Normaali;Siro;2;Normaali;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;2;1;1
24710;Caprice;20062;Nainen;Tarra;Normaali;Leveä;Normaali;3;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;2
Moni 74022;Solidus;59011;Nainen;Tarra;Iso;K-lesti;Normaali;3;Tilava;Irroitettava;Leveä;Päivittäinen;Sandaali;1;1;2
;Fly Flot;26004;Nainen;Nauha;Normaali;Leveä;Normaali;2;Normaali;Irroitettava;Normaali;Sisäkäyttö;Umpikenkä;1;1;1
2525-560-866;Fly Flot;26005;Nainen;Tarra;Normaali;Leveä;Normaali;2;Tilava;Irroitettava;Normaali;Sisäkäyttö;Umpikenkä;1;1;1
R3510;Remonte;53005;Nainen;Tarra;Pieni;Kapea;Normaali;3;Matala;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;1;1;1
202-72;New Feet;45024;Nainen;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;2
SWX11;Xsensible;66005;Nainen;Nauha ja vetoketju;Normaali;Leveä;Anatominen;3;Normaali;Irroitettava;Normaali;Ulkoilu;Umpikenkä;3;3;3
Arry;PodoWell;51008;Nainen;Tarra;Normaali;K-lesti;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;1
9568;Legero;40021;Nainen;Ei mitään;Normaali;Kapea;Normaali;1;Matala;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;1
N38 / 7081;Arcopedico;17001;Nainen;Tarra;Iso;Leveä;Anatominen;2;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;1;1;1
205721;Ganter;28004;Nainen;Nauha;Pieni;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;1;1;2
Aladin;PodoWell;51007;Nainen;Tarra;Pieni;Leveä;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;2
31.007;Belvida;19002;Nainen;Tarra;Normaali;Normaali;Normaali;3;Normaali;Irroitettava;Normaali;Kevyt/siro;Sandaali;1;1;1
Anatole;PodoWell;51014;Nainen;Tarra;Pieni;K-lesti;Normaali;2;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;1;1;2
Altitude;PodoWell;51010;Nainen;Tarra;Pieni;K-lesti;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;2
;Ortobio;48001;Nainen;Tarra;Pieni;Kapea;Normaali;3;Normaali;Irroitettava;Leveä;Sisäkäyttö;Sandaali;1;1;2
231-28-150;New Feet;45098;Nainen;Nauha;Normaali;Leveä;Anatominen;2;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;2
Nice;Suave;60004;Nainen;Ei mitään;Normaali;Leveä;Normaali;2;Tilava;Kiinteä;Normaali;Kevyt/siro;Sandaali;1;1;2
502-004;Belvida;19004;Nainen;Tarra;Normaali;K-lesti;Normaali;3;Tilava;Irroitettava;Normaali;Kevyt/siro;Sandaali;1;1;1
Tanaro 219;Legero;40037;Nainen;Nauha ja vetoketju;Iso;Kapea;Normaali;1;Matala;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;1
Arras;PodoWell;51013;Nainen;Tarra;Normaali;K-lesti;Normaali;3;Tilava;Irroitettava;Erittäin leveä;Sisäkäyttö;Sandaali;1;1;2
231-14-210;New Feet;45104;Nainen;Nauha ja vetoketju;Normaali;K-lesti;Anatominen;3;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;2
Tanaro 162;Legero;40044;Nainen;Nauha ja vetoketju;Iso;Kapea;Normaali;1;Matala;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;1
Tanaro 001162;Legero;40043;Nainen;Nauha ja vetoketju;Iso;Kapea;Normaali;1;Matala;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;1
221-37-1610;New Feet;45116;Nainen;Tarra;Pieni;Normaali;Anatominen;3;Normaali;Irroitettava;Leveä;Kevyt/siro;Umpikenkä;1;1;2
Cambio 000960;Think!;62034;Nainen;Tarra;Iso;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Sandaali;2;2;3
Niro;Allrounder;13006;Nainen;Tarra;Normaali;Normaali;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;1;1;2
Arch Fit 150051;Skechers;77005;Nainen;Nauha;Iso;Normaali;Normaali;2;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;3;1;1
Niro;Allrounder;13005;Nainen;Tarra;Normaali;Normaali;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;1;1;2
Tanaro 001162;Legero;44051;Nainen;Nauha ja vetoketju;Iso;Kapea;Normaali;1;Matala;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;1
Cambio 000822;Think!;62037;Nainen;Ei mitään;Iso;K-lesti;Anatominen;3;Tilava;Irroitettava;Leveä;Päivittäinen;Sandaali;2;1;3
221-21;New Feet;45120;Nainen;Nauha;Pieni;Leveä;Anatominen;2;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;2
Taylor;Lyfit;41010;Nainen;Nauha;Normaali;K-lesti;Anatominen;1;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;1;1;1
Cilla;Shepherd;57009;Nainen;Ei mitään;Normaali;Normaali;Normaali;2;Normaali;Irroitettava;Normaali;Sisäkäyttö;Umpikenkä;2;1;1
Danaelle;PodoWell;51020;Nainen;Tarra;Pieni;Leveä;Normaali;1;Normaali;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;2
23752;Caprice;20046;Nainen;Nauha ja vetoketju;Normaali;Leveä;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;2
23723;Caprice;20050;Nainen;Nauha ja vetoketju;Normaali;Leveä;Normaali;3;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;2
Taylor;Lyfit;41014;Nainen;Nauha;Normaali;K-lesti;Anatominen;1;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;1;1;1
241-11-110;New Feet;45145;Nainen;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Leveä;Päivittäinen;Sandaali;2;1;3
150450;Skechers;77016;Nainen;Ei mitään;Iso;Normaali;Siro;2;Normaali;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;3;1;1
74032;Solidus;59019;Nainen;Tarra;Iso;K-lesti;Normaali;3;Tilava;Irroitettava;Normaali;Kevyt/siro;Sandaali;1;1;2
Nice;Suave;60009;Nainen;Ei mitään;Normaali;Leveä;Normaali;2;Tilava;Kiinteä;Normaali;Kevyt/siro;Sandaali;1;1;2
Eifel;Arcopedico;17037;Nainen;Tarra;Pieni;Leveä;Anatominen;3;Normaali;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;1;1;1
Genny;Podowell;51033;Nainen;Tarra;Pieni;K-lesti;Normaali;3;Tilava;Irroitettava;Leveä;Kevyt/siro;Umpikenkä;1;1;2
150051W;Skechers;77018;Nainen;Nauha;Iso;Leveä;Normaali;2;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;3;1;1
24753;Caprice;20057;Nainen;Tarra;Normaali;Leveä;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;2
396;Legero;44057;Nainen;Nauha;Normaali;Kapea;Normaali;1;Matala;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;1
